11.04288984	4.100989105	4.34120464	3.929862924	3.437207819
11.1800089	4.053522568	4.587006215	4.226833745	3.616308761
11.37354845	4.072439727	4.251348311	4.304065093	3.325036021
11.5400444	4.133565275	4.297285406	4.050044303	2.895911938
11.55899765	4.539030383	4.727387819	5.129898715	3.148453361
11.59529776	4.480740108	4.624972813	5.049856007	2.595254707
11.68350333	4.216562195	4.615120517	5.170483995	3.068052935
11.79414168	4.177459469	4.346399457	4.859812404	2.901421594
11.88383363	4.189654742	4.177459469	4.624972813	3.269568939
11.94740554	4.212127598	4.139955073	4.644390899	3.144152279
11.98225387	4.682131227	4.254193263	4.540098189	3.077312261
11.92016234	4.575741375	4.804021045	4.396915247	3.077312261
11.96160969	4.596129441	4.700480366	4.420044702	2.753660712
12.0563596	4.727387819	4.820281566	4.433194921	2.595254707
12.14624833	4.744932128	4.990432587	4.500920165	2.674148649
12.18764387	4.605170186	5.036952602	4.40060302	3.010620886
12.24022283	4.351567427	4.844187086	4.418840608	2.923161581
12.24437467	4.421247348	4.663439094	4.605170186	3.034952987
12.29329567	4.528289142	4.795790546	4.663439094	3.363841595
12.35665411	4.795790546	5.176149733	4.592084946	3.317815773
12.40674561	5.135798437	5.176149733	4.672828834	3.169685581
12.44377766	4.96284463	5.252273428	4.591071262	3.044522438
12.47081485	5.257495372	5.552959585	4.509760001	3.265759411
12.51690468	5.38907173	5.771441123	4.347693956	3.27336401
12.52228316	5.370638028	5.375278408	4.407938016	2.901421594
12.55310074	5.416100402	5.638354669	5.062595033	3.299533728
